DATA,BTC,ETH,OTHERS,XRP,SOL,LUNA,DOT,DOGE,ADA
2/1/2021," $33,537.1758 "," $1,369.0405 ", $3.9314 , $0.3715 , $4.6116 , $1.7924 , $16.3758 , $0.0349 , $0.4020 
2/2/2021," $35,510.2891 "," $1,515.1937 ", $4.2831 , $0.3693 , $5.2675 , $2.3405 , $17.2633 , $0.0315 , $0.4262 
2/3/2021," $37,472.0898 "," $1,660.9095 ", $4.9043 , $0.3935 , $5.7160 , $2.1040 , $20.7337 , $0.0371 , $0.4414 
2/4/2021," $36,926.0664 "," $1,594.7627 ", $4.9521 , $0.4464 , $6.4261 , $2.6437 , $19.7022 , $0.0533 , $0.4411 
2/5/2021," $38,144.3086 "," $1,718.6509 ", $5.2483 , $0.4500 , $6.6817 , $2.8703 , $20.9027 , $0.0469 , $0.5379 
2/6/2021," $39,266.0117 "," $1,677.8468 ", $5.0526 , $0.4391 , $6.1108 , $2.6846 , $20.3955 , $0.0576 , $0.6279 
2/7/2021," $38,903.4414 "," $1,614.2278 ", $5.1167 , $0.4180 , $6.7005 , $3.0464 , $19.7936 , $0.0788 , $0.6632 
2/8/2021," $46,196.4648 "," $1,746.6168 ", $6.3183 , $0.4477 , $7.8833 , $5.7856 , $23.0319 , $0.0788 , $0.6825 
2/9/2021," $46,481.1055 "," $1,768.0350 ", $6.4383 , $0.4720 , $7.8168 , $6.4373 , $23.1300 , $0.0701 , $0.7035 
2/10/2021," $44,918.1836 "," $1,744.2434 ", $6.7138 , $0.5034 , $9.0722 , $6.1191 , $23.5851 , $0.0729 , $0.9303 
2/11/2021," $47,909.3320 "," $1,783.7980 ", $6.9088 , $0.5248 , $9.2154 , $5.4847 , $25.2303 , $0.0697 , $0.9277 
2/12/2021," $47,504.8516 "," $1,843.5326 ", $7.5447 , $0.6086 , $9.2470 , $5.7258 , $28.6913 , $0.0701 , $0.9256 
2/13/2021," $47,105.5156 "," $1,814.1099 ", $7.3227 , $0.6290 , $8.7325 , $5.5857 , $28.0167 , $0.0665 , $0.9057 
2/14/2021," $48,717.2891 "," $1,805.0841 ", $7.1652 , $0.5942 , $8.7389 , $5.6512 , $27.0957 , $0.0625 , $0.8484 
2/15/2021," $47,945.0586 "," $1,779.7910 ", $7.2605 , $0.5489 , $8.8617 , $5.4537 , $27.7809 , $0.0566 , $0.8610 
2/16/2021," $49,199.8711 "," $1,781.0675 ", $7.7359 , $0.5208 , $8.2979 , $6.5124 , $30.1599 , $0.0535 , $0.8710 
2/17/2021," $52,149.0078 "," $1,848.4583 ", $8.1648 , $0.5355 , $8.2226 , $7.3038 , $31.9867 , $0.0494 , $0.8909 
2/18/2021," $51,679.7969 "," $1,937.4492 ", $8.0624 , $0.5324 , $8.9805 , $6.7073 , $31.1806 , $0.0595 , $0.9141 
2/19/2021," $55,888.1328 "," $1,960.1648 ", $9.0206 , $0.5670 , $11.4657 , $6.3161 , $34.7922 , $0.0551 , $0.9276 
2/20/2021," $56,099.5195 "," $1,919.5341 ", $9.4840 , $0.5175 , $10.0027 , $5.9643 , $39.2422 , $0.0544 , $1.1230 
2/21/2021," $57,539.9453 "," $1,935.6011 ", $9.7685 , $0.5486 , $11.0855 , $6.1244 , $39.6962 , $0.0560 , $1.1005 
2/22/2021," $54,207.3203 "," $1,781.9929 ", $10.1558 , $0.5717 , $14.4548 , $7.0658 , $37.6895 , $0.0537 , $1.0992 
2/23/2021," $48,824.4258 "," $1,570.2040 ", $9.6151 , $0.4736 , $15.2015 , $6.7127 , $34.3008 , $0.0474 , $0.9547 
2/24/2021," $49,705.3320 "," $1,626.5757 ", $9.8677 , $0.4718 , $17.3027 , $6.6897 , $33.6335 , $0.0566 , $1.0517 
2/25/2021," $47,093.8516 "," $1,475.7037 ", $8.7373 , $0.4345 , $13.8160 , $5.9635 , $31.0807 , $0.0502 , $1.0791 
2/26/2021," $46,339.7617 "," $1,446.0337 ", $8.7582 , $0.4279 , $13.5879 , $5.8958 , $31.3461 , $0.0505 , $1.2411 
2/27/2021," $46,188.4531 "," $1,459.9731 ", $9.0637 , $0.4378 , $13.2012 , $5.9190 , $33.4494 , $0.0501 , $1.3249 
2/28/2021," $45,137.7695 "," $1,416.0490 ", $8.9695 , $0.4150 , $13.0892 , $5.3496 , $33.6073 , $0.0481 , $1.3081 
3/1/2021," $49,631.2422 "," $1,564.7076 ", $9.8470 , $0.4472 , $14.9556 , $6.7511 , $35.5849 , $0.0506 , $1.2924 
3/2/2021," $48,378.9883 "," $1,492.6088 ", $9.7137 , $0.4368 , $13.9589 , $6.4572 , $36.1531 , $0.0503 , $1.2256 
3/3/2021," $50,538.2422 "," $1,575.8531 ", $10.0169 , $0.4503 , $14.1156 , $7.2248 , $37.0433 , $0.0506 , $1.2166 
3/4/2021," $48,561.1680 "," $1,541.9143 ", $9.5964 , $0.4866 , $13.0980 , $7.4984 , $35.3303 , $0.0500 , $1.1149 
3/5/2021," $48,927.3047 "," $1,533.2750 ", $9.4166 , $0.4581 , $12.6104 , $8.4887 , $33.7245 , $0.0496 , $1.1685 
3/6/2021," $48,912.3828 "," $1,654.7416 ", $9.3924 , $0.4651 , $13.0365 , $8.2374 , $33.4337 , $0.0510 , $1.1310 
3/7/2021," $51,206.6914 "," $1,723.1538 ", $9.8317 , $0.4669 , $13.8777 , $8.2712 , $35.1887 , $0.0521 , $1.1334 
3/8/2021," $52,246.5234 "," $1,834.7279 ", $9.9681 , $0.4736 , $13.6022 , $9.6393 , $34.9138 , $0.0619 , $1.1181 
3/9/2021," $54,824.1172 "," $1,868.0488 ", $11.0820 , $0.4860 , $14.8463 , $11.7126 , $38.1942 , $0.0580 , $1.1952 
3/10/2021," $56,008.5508 "," $1,799.1663 ", $10.7666 , $0.4632 , $14.2311 , $11.1474 , $37.5669 , $0.0560 , $1.1350 
3/11/2021," $57,805.1211 "," $1,826.1949 ", $10.8874 , $0.4530 , $15.9923 , $10.8160 , $36.8825 , $0.0559 , $1.1248 
3/12/2021," $57,332.0898 "," $1,772.1024 ", $11.0396 , $0.4411 , $14.5521 , $14.1629 , $35.9870 , $0.0553 , $1.0391 
3/13/2021," $61,243.0859 "," $1,924.6854 ", $11.4464 , $0.4599 , $15.3088 , $14.5863 , $37.1578 , $0.0624 , $1.1033 
3/14/2021," $59,302.3164 "," $1,854.5643 ", $11.4204 , $0.4421 , $14.5083 , $15.8749 , $36.5793 , $0.0586 , $1.0592 
3/15/2021," $55,907.1992 "," $1,791.7023 ", $11.0687 , $0.4376 , $14.1867 , $16.3399 , $34.3575 , $0.0571 , $1.0335 
3/16/2021," $56,804.9023 "," $1,806.9718 ", $11.7831 , $0.4626 , $13.6228 , $19.8808 , $35.4308 , $0.0586 , $1.2430 
3/17/2021," $58,870.8945 "," $1,823.4493 ", $11.8096 , $0.4724 , $14.2202 , $18.5872 , $36.1414 , $0.0577 , $1.3787 
3/18/2021," $57,858.9219 "," $1,782.8551 ", $11.7536 , $0.4729 , $14.2300 , $19.0050 , $35.5172 , $0.0574 , $1.2390 
3/19/2021," $58,346.6523 "," $1,817.6241 ", $12.3869 , $0.4712 , $14.2048 , $20.0120 , $38.2727 , $0.0583 , $1.3022 
3/20/2021," $58,313.6445 "," $1,812.6346 ", $12.3745 , $0.5270 , $14.2120 , $20.8920 , $37.3505 , $0.0590 , $1.2065 
3/21/2021," $57,523.4219 "," $1,788.2170 ", $12.4791 , $0.5198 , $14.3322 , $21.9827 , $36.7936 , $0.0572 , $1.1891 
3/22/2021," $54,529.1445 "," $1,691.3340 ", $11.9344 , $0.5499 , $14.9193 , $19.4349 , $35.5375 , $0.0550 , $1.1099 
3/23/2021," $54,738.9453 "," $1,678.6501 ", $11.2415 , $0.5566 , $14.2048 , $17.0521 , $34.4605 , $0.0536 , $1.1216 
3/24/2021," $52,774.2656 "," $1,593.4135 ", $10.4000 , $0.4888 , $13.6613 , $16.6867 , $30.4364 , $0.0517 , $1.0750 
3/25/2021," $51,704.1602 "," $1,595.3593 ", $10.1884 , $0.5175 , $13.0251 , $16.4527 , $29.9822 , $0.0514 , $1.1016 
3/26/2021," $55,137.3125 "," $1,702.8420 ", $11.3905 , $0.5671 , $14.7794 , $18.5284 , $33.2004 , $0.0540 , $1.2140 
3/27/2021," $55,973.5117 "," $1,716.4946 ", $11.6165 , $0.5504 , $16.5083 , $18.7480 , $32.6610 , $0.0544 , $1.1766 
3/28/2021," $55,950.7461 "," $1,691.3560 ", $11.7829 , $0.5508 , $18.0162 , $18.5874 , $32.2979 , $0.0537 , $1.1911 
3/29/2021," $57,750.1992 "," $1,819.6849 ", $12.3255 , $0.5679 , $18.8548 , $18.8999 , $34.3736 , $0.0541 , $1.2025 
3/30/2021," $58,917.6914 "," $1,846.0337 ", $12.3007 , $0.5669 , $19.2339 , $18.6690 , $34.0669 , $0.0539 , $1.2133 
3/31/2021," $58,918.8320 "," $1,918.3621 ", $12.8356 , $0.5739 , $19.4652 , $18.7006 , $37.0270 , $0.0537 , $1.1933 
4/1/2021," $59,095.8086 "," $1,977.2769 ", $12.8508 , $0.5793 , $19.0849 , $18.5165 , $37.6729 , $0.0620 , $1.1892 
